Date,GDP
01/01/1995,81444
01/04/1995,81084.6
01/07/1995,83210.7
01/10/1995,83912.8
01/01/1996,84408.6
01/04/1996,85490.5
01/07/1996,86872.1
01/10/1996,87851.1
01/01/1997,89514.8
01/04/1997,91385
01/07/1997,93134.3
01/10/1997,95263.4
01/01/1998,96832.4
01/04/1998,97874.9
01/07/1998,99304.7
01/10/1998,100475.1
01/01/1999,102157.5
01/04/1999,103719.7
01/07/1999,105632.2
01/10/1999,107925
01/01/2000,109902.4
01/04/2000,111926.1
01/07/2000,114094
01/10/2000,116258.6
01/01/2001,119032.5
01/04/2001,119959.5
01/07/2001,120880.6
01/10/2001,122139
01/01/2002,123571.4
01/04/2002,124873.7
01/07/2002,126182.6
01/10/2002,126600.7
01/01/2003,127464.6
01/04/2003,127564.5
01/07/2003,128404
01/10/2003,129623.9
01/01/2004,130432.5
01/04/2004,131885.9
01/07/2004,132764.7
01/10/2004,133895.2
01/01/2005,134841.1
01/04/2005,136587.9
01/07/2005,138671.4
01/10/2005,140509.7
01/01/2006,143090.4
01/04/2006,145172.7
01/07/2006,146961.3
01/10/2006,149438.1
01/01/2007,152522.7
01/04/2007,153297.6
01/07/2007,155430.2
01/10/2007,158003.4
01/01/2008,160789.3
01/04/2008,161441.9
01/07/2008,162922.3
01/10/2008,162086.4
01/01/2009,157701.6
01/04/2009,154860.4
01/07/2009,155862.5
01/10/2009,156404.1
01/01/2010,157307.5
01/04/2010,159623.9
01/07/2010,160491.6
01/10/2010,161330.1
01/01/2011,162181.3
01/04/2011,162067
01/07/2011,162994.8
01/10/2011,162738.3
01/01/2012,162678.2
01/04/2012,163218.5
01/07/2012,162856.4
01/10/2012,163783.4
01/01/2013,164115
01/04/2013,164921.8
01/07/2013,165504.8
01/10/2013,165903.8
01/01/2014,167410.2
01/04/2014,166704.7
01/07/2014,167690.2
01/10/2014,169729.3
01/01/2015,169917.8
01/04/2015,172367.6
01/07/2015,174140.8
01/10/2015,173733.1
01/01/2016,174900.4
01/04/2016,175785.3
01/07/2016,177802.8
01/10/2016,179700.1
01/01/2017,181043.6
01/04/2017,184065.6
01/07/2017,185658.1
01/10/2017,188113.1
01/01/2018,191088.7
01/04/2018,192152.7
01/07/2018,194443.4
01/10/2018,196427.9
01/01/2019,201308.1
01/04/2019,201907.7
01/07/2019,203607.3
01/10/2019,205680.6
01/01/2020,204485.9
01/04/2020,187412.2
01/07/2020,200868.2
01/10/2020,203186.9
01/01/2021,208135.3
01/04/2021,215548
01/07/2021,221669
01/10/2021,224660.3
01/01/2022,231566.4
01/04/2022,236865.4
01/07/2022,242261.2
01/10/2022,248083.9
01/01/2023,253653.1
01/04/2023,257483.8
